"ISF Digital Object Identifier"|"Photograph Identification Number"|"Thumbnail Header"|"Photo Descriptive Title"|"Photograph Description"|"Ancient Text Represented "|"ISF Assigned Text Number"|"Text Division"|"Text Sub-Division"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Type of Item Catalogued"|"Photo Text or Publication Number Note"|"Date of Photograph"|"Photographer"|"Photographer"|"Photographer"|"Photographer"|"Photographer"|"Rights Physical Object"|"Rights Physical Object"|"Rights Physical Object"|"Rights Physical Object"|"Rights Physical Object"|"Is Part Of WSR Project"|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number "|"Photo Museum Accession Number Note"|"Collaborator"|"Collaborator"|"Collaborator"|"Collaborator"|"Collaborator"|"Photo Dimensions"|"Magnification Code"|"Film Type Code"|"Date of Digital Conversion"|"Digital Object Format"|"Archival File Size"|"Archival File Resolution"|"Compressed Format Extension"|"Compression Ratio"|"Compression Routine"|"Digital Object Type Note"|"Digitization Equipment Specs"|"Rights Digital Object"|"Rights Photograph"|"Script Note"|"Script1"|"Script1 Sub-Level"|"Script2"|"Script2 Sub-Level"|"Script3"|"Script3 Sub-Level"|"Script4"|"Script4 Sub-Level"|"Language Note"|"Language"|"Language"|"Language"|"Language"|"ISF Find Site"|"Relevant Time Line"|"Named Time Period"|"Named Time Period"
"ISF_DO_00001"|"AT_87_B12_R_T"|"BM 47.218.12 R"|"BM 47.218.12 Recto    "|"BM 47.218.12 Recto    "|"TAD B6.1"|"ISF_TXT_00067"|||||||||||||"image"|"TAD B6.1; Kraeling 14"|01-02-1987|"Zuckerman, Bruce"|"Zuckerman, Kenneth"||||"Brooklyn Museum, New York, USA"|||||"Brooklyn Museum 1987"|"BM 47.218.12"|||||||||||||||||||||||||"BM 47.218.12"||||||"4 x 5 in"|1|1|01-11-2000|"image/tiff"||"1000 ppi"|".sid"|18:01:00|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Elephantine"|"Syro-Palestinian"|"Persian"|
"ISF_DO_00002"|"AT_87_B12_RD1_T"|"BM 47.218.12 dt 1"|"BM 47.218.12 Detail 1"|"BM 47.218.12 Detail 1"|"TAD B6.1"|"ISF_TXT_00067"|||||||||||||"image"|"TAD B6.1; Kraeling 14"|01-02-1987|"Zuckerman, Bruce"|"Zuckerman, Kenneth"||||"Brooklyn Museum, New York, USA"|||||"Brooklyn Museum 1987"|"BM 47.218.12"|||||||||||||||||||||||||"BM 47.218.12"||||||"120 (2 1/4  x 1 5/8 in)"|3|1|01-11-2000|"image/tiff"||"2200 ppi"|".sid"|18:01:00|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Elephantine"|"Syro-Palestinian"|"Persian"|
"ISF_DO_00003"|"AT_87_B12_RD2_T"|"BM 47.218.12 dt 2"|"BM 47.218.12 Detail 2"|"BM 47.218.12 Detail 2"|"TAD B6.1"|"ISF_TXT_00067"|||||||||||||"image"|"TAD B6.1; Kraeling 14"|01-02-1987|"Zuckerman, Bruce"|"Zuckerman, Kenneth"||||"Brooklyn Museum, New York, USA"|||||"Brooklyn Museum 1987"|"BM 47.218.12"|||||||||||||||||||||||||"BM 47.218.12"||||||"120 (2 1/4  x 1 5/8 in)"|3|1|01-11-2000|"image/tiff"||"2200 ppi"|".sid"|18:01:00|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Elephantine"|"Syro-Palestinian"|"Persian"|
"ISF_DO_00004"|"AT_87_B12_RD3_T"|"BM 47.218.12 dt 3"|"BM 47.218.12 Detail 3"|"BM 47.218.12 Detail 3"|"TAD B6.1"|"ISF_TXT_00067"|||||||||||||"image"|"TAD B6.1; Kraeling 14"|01-02-1987|"Zuckerman, Bruce"|"Zuckerman, Kenneth"||||"Brooklyn Museum, New York, USA"|||||"Brooklyn Museum 1987"|"BM 47.218.12"|||||||||||||||||||||||||"BM 47.218.12"||||||"120 (2 1/4  x 1 5/8 in)"|3|1|01-11-2000|"image/tiff"||"2200 ppi"|".sid"|18:01:00|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Elephantine"|"Syro-Palestinian"|"Persian"|
"ISF_DO_00005"|"AT_87_B12_V_T"|"BM 47.218.12 V"|"BM 47.218.12 Verso"|"BM 47.218.12 Verso"|"TAD B6.1"|"ISF_TXT_00067"|||||||||||||"image"|"TAD B6.1; Kraeling 14"|01-02-1987|"Zuckerman, Bruce"|"Zuckerman, Kenneth"||||"Brooklyn Museum, New York, USA"|||||"Brooklyn Museum 1987"|"BM 47.218.12"|||||||||||||||||||||||||"BM 47.218.12"||||||"4 x 5 in"|1|1|01-11-2000|"image/tiff"||"1000 ppi"|".sid"|18:01:00|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Elephantine"|"Syro-Palestinian"|"Persian"|
"ISF_DO_00006"|"AT_87_B12_VD_T"|"BM 47.218.12 V dt"|"BM 47.218.12 Verso detail"|"BM 47.218.12 Verso detail"|"TAD B6.1"|"ISF_TXT_00067"|||||||||||||"image"|"TAD B6.1; Kraeling 14"|01-02-1987|"Zuckerman, Bruce"|"Zuckerman, Kenneth"||||"Brooklyn Museum, New York, USA"|||||"Brooklyn Museum 1987"|"BM 47.218.12"|||||||||||||||||||||||||"BM 47.218.12"||||||"120 (2 1/4  x 1 5/8 in)"|3|1|01-11-2000|"image/tiff"||"2200 ppi"|".sid"|18:01:00|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Elephantine"|"Syro-Palestinian"|"Persian"|
"ISF_DO_00007"|"AT_87_B13_R_T"|"BM 47.218.13 R"|"BM 47.218.13 Recto "|"BM 47.218.13 Recto "|"TAD D1.12"|"ISF_TXT_00080"|||||||||||||"image"|"TAD D1.12; Kraeling 16"|01-02-1987|"Zuckerman, Bruce"|"Zuckerman, Kenneth"||||"Brooklyn Museum, New York, USA"|||||"Brooklyn Museum 1987"|"BM 47.218.13"|||||||||||||||||||||||||"BM 47.218.13"||||||"4 x 5 in"|1|1|01-11-2000|"image/tiff"||"1000 ppi"|".sid"|18:01:00|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Elephantine/Syene"|"Syro-Palestinian"|"Persian"|
"ISF_DO_00008"|"AT_87_B13_R_I2"|"BM 47.218.13 R IR120"|"BM 47.218.13 Recto Infrared 120"|"BM 47.218.13 Recto Infrared 120"|"TAD D1.12"|"ISF_TXT_00080"|||||||||||||"image"|"TAD D1.12; Kraeling 16"|01-02-1987|"Zuckerman, Bruce"|"Zuckerman, Kenneth"||||"Brooklyn Museum, New York, USA"|||||"Brooklyn Museum 1987"|"BM 47.218.13"|||||||||||||||||||||||||"BM 47.218.13"||||||"120 (2 1/4  x 1 5/8 in)"|1|3|01-11-2000|"image/tiff"||"2200 ppi"|".sid"|10:01:00|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Elephantine/Syene"|"Syro-Palestinian"|"Persian"|
"ISF_DO_00009"|"AT_87_B13_RD_T"|"BM 47.218.13 Dt 16a"|"BM 47.218.13 Detail (16a)"|"BM 47.218.13 Detail (16a)"|"TAD D1.12"|"ISF_TXT_00080"|||||||||||||"image"|"TAD D1.12; Kraeling 16"|01-02-1987|"Zuckerman, Bruce"|"Zuckerman, Kenneth"||||"Brooklyn Museum, New York, USA"|||||"Brooklyn Museum 1987"|"BM 47.218.13"|||||||||||||||||||||||||"BM 47.218.13"||||||"120 (2 1/4  x 1 5/8 in)"|3|1|01-11-2000|"image/tiff"||"2200 ppi"|".sid"|18:01:00|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Elephantine/Syene"|"Syro-Palestinian"|"Persian"|
"ISF_DO_00010"|"AT_87_B13_V_T"|"BM 47.218.13 V"|"BM 47.218.13 Verso"|"BM 47.218.13 Verso"|"TAD D1.12"|"ISF_TXT_00080"|||||||||||||"image"|"TAD D1.12; Kraeling 16"|01-02-1987|"Zuckerman, Bruce"|"Zuckerman, Kenneth"||||"Brooklyn Museum, New York, USA"|||||"Brooklyn Museum 1987"|"BM 47.218.13"|||||||||||||||||||||||||"BM 47.218.13"||||||"4 x 5 in"|1|1|01-11-2000|"image/tiff"||"1000 ppi"|".sid"|18:01:00|"MrSID"|"Scanned Photograph"|"Scanmate 3000 Drum Scanner PMT"|"West Semitic Research, Rolling Hills Estates, California"|"West Semitic Research, Rolling Hills Estates, California"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Elephantine/Syene"|"Syro-Palestinian"|"Persian"|
