"ReferenceFile"|"DetailedFile"|"DetailedLeft"|"DetailedBottom"|"DetailedWidth"|"DetailedHeight"
"3K9T01"|"3K9P01"|1|1|892|992
"3K9T01"|"3K9P14"|-1|0|898|999
"3K9T01"|"3K9P15"|-1|0|898|995
"3K9T01"|"3K9P16"|-1|0|896|995
"3K9T01"|"3K9T01"|-1|0|901|998
"3K9T01"|"3K9T06"|124|403|230|172
"3K9T01"|"3K9T07"|399|496|224|196
"3K9T01"|"3K9T08"|544|466|221|173
"3K9T01"|"3K9T09"|190|321|220|187
"3K9T01"|"3K9T10"|439|299|227|177
"3K9T01"|"3K9T12"|130|52|135|126
"3K9T01"|"3K9T13"|419|12|463|978
"3K9T01"|"3K9T14"|-1|0|898|998
"3K9T01"|"3K9T15"|-1|0|899|993
"3K9T01"|"3K9T16"|-1|0|898|995
"3K9T01"|"3K9P06"|120|385|234|198
"3K9T01"|"3K9P07"|390|483|229|200
"3K9T01"|"3K9P08"|542|486|215|146
"3K9T01"|"3K9P09"|194|332|232|180
"3K9T01"|"3K9P10"|437|296|234|172
"3K9T01"|"3K9P12"|104|75|188|120
"3K9T01"|"3K9P13"|378|26|443|993
"3K9T01"|"3K9P20"|199|325|229|175
"3K9T01"|"3K9P21"|466|301|227|164
"3K9T01"|"3K9P25"|329|206|237|201
"3K9T01"|"3K9P26"|111|79|202|183
"3K9T01"|"3K9P28"|443|364|229|221
"3K9T01"|"3K9P30"|591|451|212|196
"3K9T01"|"3K9T20"|199|309|226|207
"3K9T01"|"3K9T21"|483|284|214|192
"3K9T02"|"3K9P02"|-1|0|967|996
"3K9T02"|"3K9P17"|-1|0|967|990
"3K9T02"|"3K9P18"|-1|0|966|996
"3K9T02"|"3K9P19"|-1|0|964|992
"3K9T02"|"3K9T02"|-1|0|964|996
"3K9T02"|"3K9T03"|121|0|417|990
"3K9T02"|"3K9T04"|-5|81|952|211
"3K9T02"|"3K9T17"|-1|0|963|986
"3K9T02"|"3K9T18"|-1|0|963|989
"3K9T02"|"3K9T19"|-1|0|963|993
"3K9T02"|"3K9P03"|103|101|446|855
"3K9T02"|"3K9P04"|130|105|759|215
"3K9T02"|"3K9P22"|191|684|220|201
"3K9T02"|"3K9P23"|194|496|173|176
"3K9T02"|"3K9P24"|185|127|209|177
"3K9T02"|"3K9P27"|171|354|186|205
"3K9T02"|"3K9P29"|407|237|170|186
"3K9T05"|"3K9T03"|57|18|223|975
"3K9T05"|"3K9T05"|-1|0|379|996
"3K9T05"|"3K9T11"|62|333|200|300
"3K9T05"|"3K9T13"|44|3|206|999
"3K9T05"|"3K9P03"|91|0|232|999
"3K9T05"|"3K9P05"|-1|0|379|998
"3K9T05"|"3K9P11"|60|290|200|300
"3K9T05"|"3K9P13"|-1|0|250|998
"3K9T05"|"3K9P30"|51|338|200|300
"AT_91_P13446D_V_T"|"AT_84_P13446D_VD10_P"|30|321|496|362
"AT_91_P13446D_V_T"|"AT_84_P13446D_VD11_P"|741|3|490|391
