"Alternate Text or Publication Number"|"ISF Assigned Text Number"|"Main Text or Publication Number"|"Text Descriptive Title"|"Alternate Text or Publication Number Prefix"|"Alternate Text or Publication Number Suffix"
"Sachau Pl. 69/1"|"ISF_TXT_00002"|"Sachau 82/1"|"Jar fragment"|"Sachau Pl."|"69/1"
"Sachau Pl. 69/10"|"ISF_TXT_00003"|"Sachau 82/10"|"Jar fragment"|"Sachau Pl."|"69/10"
"Sachau Pl. 69/12"|"ISF_TXT_00004"|"Sachau 82/12"|"Jar fragment"|"Sachau Pl."|"69/12"
"Sachau Pl. 69/13"|"ISF_TXT_00005"|"Sachau 82/13"|"Ostracon"|"Sachau Pl."|"69/13"
"Sachau Pl. 69/2"|"ISF_TXT_00006"|"Sachau 82/2"|"Jar Fragment"|"Sachau Pl."|"69/2"
"Sachau Pl. 69/3"|"ISF_TXT_00007"|"Sachau 82/3"|"Jar Fragment"|"Sachau Pl."|"69/3"
"Sachau Pl. 69/4"|"ISF_TXT_00008"|"Sachau 82/4"|"Jar Fragment"|"Sachau Pl."|"69/4"
"Sachau Pl. 69/5"|"ISF_TXT_00009"|"Sachau 82/5"|"Jar Fragment"|"Sachau Pl."|"69/5"
"Sachau Pl. 69/7"|"ISF_TXT_00010"|"Sachau 82/7"|"Jar Fragment"|"Sachau Pl."|"69/7"
"Sachau Pl. 69/9"|"ISF_TXT_00011"|"Sachau 82/9"|"Jar Fragment"|"Sachau Pl."|"69/9"
"Sachau Pl. 70/10"|"ISF_TXT_00012"|"Sachau 83/10"|"Ostracon"|"Sachau Pl."|"70/10"
"Sachau Pl. 70/11"|"ISF_TXT_00013"|"Sachau 83/11"|"Ostracon"|"Sachau Pl."|"70/11"
"Sachau Pl. 70/12"|"ISF_TXT_00014"|"Sachau 83/12"|"Ostracon"|"Sachau Pl."|"70/12"
"Sachau Pl. 70/13"|"ISF_TXT_00015"|"Sachau 83/13"|"Ostracon"|"Sachau Pl."|"70/13"
"Sachau Pl. 70/16"|"ISF_TXT_00016"|"Sachau 83/16"|"Ostracon"|"Sachau Pl."|"70/16"
"Sachau Pl. 70/2"|"ISF_TXT_00017"|"Sachau 83/2"|"Ostracon"|"Sachau Pl."|"70/2"
"Sachau Pl. 70/6"|"ISF_TXT_00018"|"Sachau 83/6"|"Ostracon"|"Sachau Pl."|"70/6"
"Sachau Pl. 70/7"|"ISF_TXT_00019"|"Sachau 83/7"|"Ostracon"|"Sachau Pl."|"70/7"
"Sachau Pl. 70/9"|"ISF_TXT_00020"|"Sachau 83/9"|"Ostracon"|"Sachau Pl."|"70/9"
"Sachau Pl. 72/10"|"ISF_TXT_00021"|"Sachau 85/10"|"Jar Fragment"|"Sachau Pl."|"72/10"
"Sachau Pl. 72/9"|"ISF_TXT_00022"|"Sachau 85/9"|"Jar Fragment"|"Sachau Pl."|"72/9"
"Sachau Pl. 72/11"|"ISF_TXT_00023"|"Sachau 85/11"|"Jar Fragment"|"Sachau Pl."|"72/11"
"Sachau Pl. 72/12"|"ISF_TXT_00024"|"Sachau 85/12"|"Jar Fragment"|"Sachau Pl."|"72/12"
"Sachau Pl. 72/13"|"ISF_TXT_00025"|"Sachau 85/13"|"Jar Fragment"|"Sachau Pl."|"72/13"
"Sachau Pl. 72/14"|"ISF_TXT_00026"|"Sachau 85/14"|"Jar Fragment"|"Sachau Pl."|"72/14"
"Sachau Pl. 72/15"|"ISF_TXT_00027"|"Sachau 85/15"|"Jar Fragment"|"Sachau Pl."|"72/15"
"Sachau Pl. 72/18"|"ISF_TXT_00028"|"Sachau 85/18"|"Jar Fragment"|"Sachau Pl."|"72/18"
"Sachau Pl. 72/2"|"ISF_TXT_00029"|"Sachau 85/2"|"Jar Fragment"|"Sachau Pl."|"72/2"
"Sachau Pl. 72/4"|"ISF_TXT_00030"|"Sachau 85/4"|"Jar Fragment"|"Sachau Pl."|"72/4"
"Sachau Pl. 72/5"|"ISF_TXT_00031"|"Sachau 85/5"|"Jar Fragment"|"Sachau Pl."|"72/5"
"Sachau Pl. 72/8"|"ISF_TXT_00032"|"Sachau 85/8"|"Jar Fragment"|"Sachau Pl."|"72/8"
"Sachau Pl. 73/1"|"ISF_TXT_00033"|"Sachau 86/1"|"Jar Fragment"|"Sachau Pl."|"73/1"
"Sachau Pl. 73/16"|"ISF_TXT_00034"|"Sachau 86/16"|"Jar Fragment"|"Sachau Pl."|"73/16"
"Sachau Pl. 73/17"|"ISF_TXT_00035"|"Sachau 86/17"|"Jar Fragment"|"Sachau Pl."|"73/17"
"Sachau Pl. 73/19"|"ISF_TXT_00036"|"Sachau 86/19"|"Jar Fragment"|"Sachau Pl."|"73/19"
"Sachau Pl. 73/2"|"ISF_TXT_00037"|"Sachau 86/2"|"Jar Fragment"|"Sachau Pl."|"73/2"
"Sachau Pl. 73/21"|"ISF_TXT_00038"|"Sachau 86/21"|"Jar Fragment"|"Sachau Pl."|"73/21"
"Sachau Pl. 73/4"|"ISF_TXT_00039"|"Sachau 86/4"|"Jar Fragment"|"Sachau Pl."|"73/4"
"Sachau Pl. 73/9"|"ISF_TXT_00040"|"Sachau 86/9"|"Jar Fragment"|"Sachau Pl."|"73/9"
"Kraeling 13"|"ISF_TXT_00042"|"TAD A3.9"|"Letter re Change of Dynasties"|"Kraeling"|"13"
"Cowley 21"|"ISF_TXT_00043"|"TAD A4.1"|"Passover Letter "|"Cowley"|"21"
"Sachau Pl. 6"|"ISF_TXT_00043"|"TAD A4.1"|"Passover Letter "|"Sachau Pl."|"6"
"Sachau Pap 6"|"ISF_TXT_00043"|"TAD A4.1"|"Passover Letter "|"Sachau Pap"|"6"
"Ungnad 6"|"ISF_TXT_00043"|"TAD A4.1"|"Passover Letter "|"Ungnad"|"6"
"Cowley 56"|"ISF_TXT_00044"|"TAD A4.4"|"Report of Imprisonment of Jewish Leaders"|"Cowley"|"56"
"Sachau Pl. 37"|"ISF_TXT_00044"|"TAD A4.4"|"Report of Imprisonment of Jewish Leaders"|"Sachau Pl."|"37"
"Sachau Pap 43"|"ISF_TXT_00044"|"TAD A4.4"|"Report of Imprisonment of Jewish Leaders"|"Sachau Pap"|"43"
"Ungnad 44"|"ISF_TXT_00044"|"TAD A4.4"|"Report of Imprisonment of Jewish Leaders"|"Ungnad"|"44"
"Cowley 66/1-3,5,6"|"ISF_TXT_00045"|"TAD A4.6"|"Fragmentary Letter re Egyptians Imprisoned"|"Cowley"|"66/1-3,5,6"
"Cowley 68/12 "|"ISF_TXT_00045"|"TAD A4.6"|"Fragmentary Letter re Egyptians Imprisoned"|"Cowley"|"68/12"
"Sachau 72/1,2,5,6"|"ISF_TXT_00045"|"TAD A4.6"|"Fragmentary Letter re Egyptians Imprisoned"|"Sachau"|"72/1,2,5,6"
"Sachau 74/12 "|"ISF_TXT_00045"|"TAD A4.6"|"Fragmentary Letter re Egyptians Imprisoned"|"Sachau"|"74/12"
"Sachau Pl. 59/1,2,5,6"|"ISF_TXT_00045"|"TAD A4.6"|"Fragmentary Letter re Egyptians Imprisoned"|"Sachau Pl."|"59/1,2,5,6"
"Sachau Pl. 61/12"|"ISF_TXT_00045"|"TAD A4.6"|"Fragmentary Letter re Egyptians Imprisoned"|"Sachau Pl."|"61/12"
"Ungnad 72"|"ISF_TXT_00045"|"TAD A4.6"|"Fragmentary Letter re Egyptians Imprisoned"|"Ungnad"|"72"
"Cowley 30"|"ISF_TXT_00046"|"TAD A4.7"|"Request for Letter of Recommendation first draft; Appeal Letter"|"Cowley"|"30"
"Sachau Pl. 1"|"ISF_TXT_00046"|"TAD A4.7"|"Request for Letter of Recommendation first draft; Appeal Letter"|"Sachau Pl."|"1"
"Sachau Pl. 2"|"ISF_TXT_00046"|"TAD A4.7"|"Request for Letter of Recommendation first draft; Appeal Letter"|"Sachau Pl."|"2"
"Sachau Pap 1"|"ISF_TXT_00046"|"TAD A4.7"|"Request for Letter of Recommendation first draft; Appeal Letter"|"Sachau Pap"|"1"
"Ungnad 1"|"ISF_TXT_00046"|"TAD A4.7"|"Request for Letter of Recommendation first draft; Appeal Letter"|"Ungnad"|"1"
"Cowley 32"|"ISF_TXT_00047"|"TAD A4.9"|"Recommendation for Reconstruction of Temple"|"Cowley"|"32"
"Sachau Pl. 4"|"ISF_TXT_00047"|"TAD A4.9"|"Recommendation for Reconstruction of Temple"|"Sachau Pl."|"4"
"Sachau Pap 3"|"ISF_TXT_00047"|"TAD A4.9"|"Recommendation for Reconstruction of Temple"|"Sachau Pap"|"3"
"Ungnad 3"|"ISF_TXT_00047"|"TAD A4.9"|"Recommendation for Reconstruction of Temple"|"Ungnad"|"3"
"Cowley 10"|"ISF_TXT_00048"|"TAD B3.1"|"Loan of Silver"|"Cowley"|"10"
"Sachau Pl. 28"|"ISF_TXT_00048"|"TAD B3.1"|"Loan of Silver"|"Sachau Pl."|"28"
"Sachau Pl. 29"|"ISF_TXT_00048"|"TAD B3.1"|"Loan of Silver"|"Sachau Pl."|"29"
"Sachau Pap 28"|"ISF_TXT_00048"|"TAD B3.1"|"Loan of Silver"|"Sachau Pap"|"28"
"Ungnad 30"|"ISF_TXT_00048"|"TAD B3.1"|"Loan of Silver"|"Ungnad"|"30"
