"Main Text or Publication Number"|"Text Descriptive Title"|"ISF Assigned Text Number"|"Spatial Search Code"|"Text Division"|"Text Division Sequencing Order"|"Text Sub-Division"|"Text Sub-Division Sequencing Order"|"Text View"|"Text Division Description"|"Text Division Museum Number"|"Index Map Filename"
"TAD C1.1"|"Ahiqar"|"ISF_TXT_00071"|"000"|"Column 1"|"1"|||"Column 1"|"TAD C1.1; Sachau Pl. 40; Sachau Pap 49; Ungnad 50"|"P13446A"|
"TAD C1.1"|"Ahiqar"|"ISF_TXT_00071"|"000"|"Column 2"|"2"|||"Column 2"|"TAD C1.1; Sachau Pl. 41; Sachau Pap 50; Ungnad 51"|"P13446B"|
"TAD C1.1"|"Ahiqar"|"ISF_TXT_00071"|"000"|"Column 3"|"3"|||"Column 3"|"TAD C1.1; Sachau Pl. 42; Sachau Pap 51; Ungnad 52"|"P13446C"|
"TAD C1.1"|"Ahiqar"|"ISF_TXT_00071"|"000"|"Columns 4-5"|"4"|||"Columns 4-5"|"TAD C1.1; Sachau Pl. 43; Sachau Pap 52; Ungnad 53-54"|"P13446D"|
"TAD C1.1"|"Ahiqar"|"ISF_TXT_00071"|"000"|"Column 6"|"5"|||"Column 6"|"TAD C1.1; Sachau Pl. 45; Sachau Pap 54; Ungnad 56"|"P13446E"|
"TAD C1.1"|"Ahiqar"|"ISF_TXT_00071"|"100"|"Column 7-8"|"6"|||"Column 7-8"|"TAD C1.1; Sachau Pl. 48; Sachau Pap 57; Ungnad 60-61"|"P13446K"|"AT_91_P13446K_R_T"
"TAD C1.1"|"Ahiqar"|"ISF_TXT_00071"|"100"|"Columns 9-10"|"7"|||"Columns 9-10"|"TAD C1.1; Sachau Pl. 47; Sachau Pap 56; Ungnad 58-59"|"P13446G"|"AT_91_P13446G_R_T"
"TAD C1.1"|"Ahiqar"|"ISF_TXT_00071"|"000"|"Columns 11"|"8"|||"Columns 11"|"TAD C1.1; Sachau Pl. 46; Sachau Pap 55; Ungnad 57"|"P13446F"|
"TAD C1.1"|"Ahiqar"|"ISF_TXT_00071"|"000"|"Column 13"|"9"|||"Column 13"|"TAD C1.1; Sachau Pl. 49; Sachau Pap 58; Ungnad 62"|"P13446H"|
"TAD C1.1"|"Ahiqar"|"ISF_TXT_00071"|"000"|"Column 14"|"10"|||"Column 14"|"TAD C1.1; Sachau Pl. 50; Sachau Pap 59; Ungnad 63"|"P13446L"|
"TAD C1.1"|"Ahiqar"|"ISF_TXT_00071"|"000"|"Erased Column 2"|"11"|||"Erased Column 2"|"TAD C1.1"|"P13446L verso"|
"TAD C1.1"|"Ahiqar"|"ISF_TXT_00071"|"000"|"Erased Column 3"|"12"|||"Erased Column 3"|"TAD C1.1"|"P13446H verso"|
"TAD C1.1"|"Ahiqar"|"ISF_TXT_00071"|"000"|"Fragments"|"13"|||"Fragments"|"TAD C1.1; Sachau Pap 64/23,28"|"P13461D, frgs. 13445C/23,28"|
"TAD C2.1"|"Bisitun Inscription"|"ISF_TXT_00072"|"000"|"Column I"|"1"|||"Column I"|"TAD C2.1"|"Fragmente zu P13447"|
"TAD C2.1"|"Bisitun Inscription"|"ISF_TXT_00072"|"000"|"Column III"|"2"|||"Column III"|"TAD C2.1; Sachau Pl. 57; Ungnad 65"|"P13447 col. I recto; Fragmente zu P13447"|
"TAD C2.1"|"Bisitun Inscription"|"ISF_TXT_00072"|"000"|"Column IV"|"3"|||"Column IV"|"TAD C2.1; Sachau Pl. 57; Ungnad 65"|"P13447 col. I recto"|
"TAD C2.1"|"Bisitun Inscription"|"ISF_TXT_00072"|"000"|"Column V"|"4"|||"Column V"|"TAD C2.1; Sachau Pl. 52; Sachau Pap 61; Ungnad 66"|"P13447 col. II recto"|
