"ISF Assigned Text Number"|"Main Text or Publication Number"|"Main Text or Publication Number Prefix"|"Main Text or Publication Number Suffix"|"Alternate Text or Publication Number"|"Text Search and Display Type Code"|"Text Division"|"Text Division Description"|"Text Division Museum Number"|"Text Sub-Division "|"Text or Publication Number Note"|"Physical Object Description"|"Physical Object Note"|"Physical Object Note"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Museum Accession Number"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Text View"|"Is Part Of Corpus1"|"Is Part Of Corpus1 Category"|"Is Part Of Corpus1 Sub-Category"|"Is Part Of Corpus2"|"Is Part Of Corpus2 Category"|"Is Part Of Corpus2 Sub-Category"|"Is Part Of Corpus3"|"Is Part Of Corpus3 Category"|"Is Part Of Corpus3 Sub-Category"|"Is Version of"|"Is Part of"|"Text, Uninscribed Artifact, or Glyptic"|"Type of Item Cataloged"|"Medium"|"Text Descriptive Title"|"Alternate Text Title"|"Alternate Text Title"|"Alternate Text Title"|"Alternate Text Title"|"Alternate Text Title"|"Text Description"|"Excavation Description"|"Excavation Number"|"Excavation Number"|"Excavation Number"|"Excavation Number"|"Excavation Number"|"Excavation Number"|"Excavation Number"|"Excavation Number"|"Excavation Number"|"Excavation Number"|"Geographical Coverage Note"|"Script Note"|"Script1"|"Script1 Sub-Level"|"Script2"|"Script2 Sub-Level"|"Script3"|"Script3 Sub-Level"|"Script4"|"Script4 Sub-Level"|"Language Note"|"Language"|"Language"|"Language"|"Language"|"Relevant Time Line"|"Named Time Period"|"Named Time Period"|"Date of Inscription Note"|"Ancient City or Location"|"Ancient Structure"|"ISF Find Site"|"Modern City or Location"|"Modern Country"|"Region"|"Location of Original"|"Location of Original"|"Location of Original"|"Location of Original"|"Location of Original"|"Location of Original"|"Rights Physical Object"|"Rights Physical Object"|"Rights Physical Object"|"Rights Physical Object"|"Rights Physical Object"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Keywords or Phrases"|"Index Map Filename"
"ISF_TXT_00001"|"Kraeling 18 frgs "|"Kraeling"|"18 frgs "||4|||||"Kraeling 18 frgs 2, 5-7, 9-12, 14-17, 20-21, 23-25, 27-29, 31"|"BM 47.218.155 frgs 2, 5-7, 9-12, 20-21, 23-25, 27-29, 31"|||"BM 47.218.155"|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Fragments"||||||||||"Text"|"Ancient Text"|"Papyrus"|"Unplaced fragments"|"Unplaced Fragments"||||||"Found by farmers in tell on island of Elephantine, acquired by Charles Edwin Wilbour in 1893"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Aramaic"|"Aramaic"||||||||"Aramaic"|"Aramaic"||||"Syro-Palestinian"|"Persian"||"5th c. BCE"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Brooklyn Museum, New York, USA"||||||"Brooklyn Museum, New York, USA"|||||"Aramaic"|"Egypt"|"Elephantine"|"Papyrus"|"Jewish"|"BM 47.218.155"|"Persian"|||||||||||||||||||
"ISF_TXT_00002"|"Sachau 82/1"|"Sachau"|"82/1"||4|||||"Sachau 82/1; Sachau Pl. 69/1"|"P11432 "|||"P11432 "|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Miscellaneous"||"Northwest Semitic Ostraca"|"Phoenician Inscriptions"|||||||"Text"|"Ancient Text"|"Clay"|"Jar fragment"|"Name"||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Phoenician"|"Phoenician"||||||||"Phoenician"|"Phoenician"||||"Syro-Palestinian"|"Persian"||"5th c. BCE"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Phoenician"|"Egypt"|"Elephantine"|"Ostracon"|"Jewish"|"Jar"|"P11432 "|"Lidzbarski 1"|"Persian"|||||||||||||||||
"ISF_TXT_00003"|"Sachau 82/10"|"Sachau"|"82/10"||4|||||"Sachau 82/10; Sachau Pl. 69/10"|"P11362 "|||"P11362 "|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Miscellaneous"||"Northwest Semitic Ostraca"|"Phoenician Inscriptions"|||||||"Text"|"Ancient Text"|"Clay"|"Jar fragment"|"Name"||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Phoenician"|"Phoenician"||||||||"Phoenician"|"Phoenician"||||"Syro-Palestinian"|"Persian"||"5th c. BCE"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Phoenician"|"Egypt"|"Elephantine"|"Ostracon"|"Jewish"|"Jar"|"P11362 "|"Lidzbarski 10"|"Persian"|||||||||||||||||
"ISF_TXT_00004"|"Sachau 82/12"|"Sachau"|"82/12"||4|||||"Sachau 82/12; Sachau Pl. 69/12"|"P11404 "|||"P11404 "|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Miscellaneous"||"Northwest Semitic Ostraca"|"Phoenician Inscriptions"|||||||"Text"|"Ancient Text"|"Clay"|"Jar Fragment"|"Name"||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Phoenician"|"Phoenician"||||||||"Phoenician"|"Phoenician"||||"Syro-Palestinian"|"Persian"||"5th c. BCE"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Phoenician"|"Egypt"|"Elephantine"|"Ostracon"|"Jewish"|"Jar"|"P11404 "|"Lidzbarski 12"|"Persian"|||||||||||||||||
"ISF_TXT_00005"|"Sachau 82/13"|"Sachau"|"82/13"||4|||||"Sachau 82/13; Sachau Pl. 69/13"|"P11435 "|||"P11435 "|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Miscellaneous"||"Northwest Semitic Ostraca"|"Phoenician Inscriptions"|||||||"Text"|"Ancient Text"|"Clay"|"Jar Fragment"|"Name"||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Phoenician"|"Phoenician"||||||||"Phoenician"|"Phoenician"||||"Syro-Palestinian"|"Persian"||"5th c. BCE"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Phoenician"|"Egypt"|"Elephantine"|"Ostracon"|"Jewish"|"P11435 "|"Lidzbarski 13"|"Persian"||||||||||||||||||
"ISF_TXT_00006"|"Sachau 82/2"|"Sachau"|"82/2"||4|||||"Sachau 82/2; Sachau Pl. 69/2"|"P11414 "|||"P11414 "|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Miscellaneous"||"Northwest Semitic Ostraca"|"Phoenician Inscriptions"|||||||"Text"|"Ancient Text"|"Clay"|"Jar Fragment"|"Name"||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Phoenician"|"Phoenician"||||||||"Phoenician"|"Phoenician"||||"Syro-Palestinian"|"Persian"||"5th c. BCE"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Phoenician"|"Egypt"|"Elephantine"|"Ostracon"|"Jewish"|"Jar"|"P11414 "|"Lidzbarski 2"|"Persian"|||||||||||||||||
"ISF_TXT_00007"|"Sachau 82/3"|"Sachau"|"82/3"||4|||||"Sachau 82/3; Sachau Pl. 69/3"|"P11389"|||"P11389"|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Miscellaneous"||"Northwest Semitic Ostraca"|"Phoenician Inscriptions"|||||||"Text"|"Ancient Text"|"Clay"|"Jar Fragment"|"Name"||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Phoenician"|"Phoenician"||||||||"Phoenician"|"Phoenician"||||"Syro-Palestinian"|"Persian"||"5th c. BCE"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Phoenician"|"Egypt"|"Elephantine"|"Ostracon"|"Jewish"|"Jar"|"P11389"|"Lidzbarski 3"|"Persian"|||||||||||||||||
"ISF_TXT_00008"|"Sachau 82/4"|"Sachau"|"82/4"||4|||||"Sachau 82/4; Sachau Pl. 69/4"|"P11426 "|||"P11426 "|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Miscellaneous"||"Northwest Semitic Ostraca"|"Phoenician Inscriptions"|||||||"Text"|"Ancient Text"|"Clay"|"Jar Fragment"|"Name"||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Phoenician"|"Phoenician"||||||||"Phoenician"|"Phoenician"||||"Syro-Palestinian"|"Persian"||"5th c. BCE"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Phoenician"|"Egypt"|"Elephantine"|"Ostracon"|"Jewish"|"Jar"|"P11426 "|"Lidzbarski 4"|"Persian"|||||||||||||||||
"ISF_TXT_00009"|"Sachau 82/5"|"Sachau"|"82/5"||4|||||"Sachau 82/5; Sachau Pl. 69/5"|"P11449 "|||"P11449 "|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Miscellaneous"||"Northwest Semitic Ostraca"|"Phoenician Inscriptions"|||||||"Text"|"Ancient Text"|"Clay"|"Jar Fragment"|"Name"||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Phoenician"|"Phoenician"||||||||"Phoenician"|"Phoenician"||||"Syro-Palestinian"|"Persian"||"5th c. BCE"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Phoenician"|"Egypt"|"Elephantine"|"Ostracon"|"Jewish"|"Jar"|"P11449 "|"Lidzbarski 5"|"Persian"|||||||||||||||||
"ISF_TXT_00010"|"Sachau 82/7"|"Sachau"|"82/7"||4|||||"Sachau 82/7; Sachau Pl. 69/7"|"P11399 "|||"P11399 "|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Miscellaneous"||"Northwest Semitic Ostraca"|"Phoenician Inscriptions"|||||||"Text"|"Ancient Text"|"Clay"|"Jar Fragment"|"Name"||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Phoenician"|"Phoenician"||||||||"Phoenician"|"Phoenician"||||"Syro-Palestinian"|"Persian"||"5th c. BCE"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Phoenician"|"Egypt"|"Elephantine"|"Ostracon"|"Jewish"|"Jar"|"P11399 "|"Lidzbarski 7"|"Persian"|||||||||||||||||
"ISF_TXT_00011"|"Sachau 82/9"|"Sachau"|"82/9"||4|||||"Sachau 82/9; Sachau Pl. 69/9"|"P11398 "|||"P11398 "|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Miscellaneous"||"Northwest Semitic Ostraca"|"Phoenician Inscriptions"|||||||"Text"|"Ancient Text"|"Clay"|"Jar Fragment"|"Name"||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Phoenician"|"Phoenician"||||||||"Phoenician, Egyptian"|"Phoenician"|"Egyptian"|||"Syro-Palestinian"|"Persian"||"5th c. BCE"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Phoenician"|"Egypt"|"Elephantine"|"Ostracon"|"Jewish"|"Jar"|"P11398 "|"Lidzbarski 9"|"Persian"|||||||||||||||||
"ISF_TXT_00012"|"Sachau 83/10"|"Sachau"|"83/10"||4|||||"Sachau 83/10; Sachau Pl. 70/10"|"P11424 "|||"P11424 "|||||||||||||||||||||||||||||||||||"Aramaic Texts from Ancient Egypt"|"Miscellaneous"||"Northwest Semitic Ostraca"|"Phoenician Inscriptions"|||||||"Text"|"Ancient Text"|"Clay"|"Jar Fragment"|"Name"||||||"Excavation of tell on island of Elephantine, beginning 20th c. by Berlin Museums and Paris Academie des Inscriptions et Belles Lettres"|||||||||||"Situated on island in the Nile River opposite modern Aswan"|"Phoenician"|"Phoenician"||||||||"Phoenician"|"Phoenician"||||"Syro-Palestinian"|"Persian"||"5th c. BCE"|"Jeb/Yeb/Yev, Elephantine"||"Elephantine"|"Jaziret Aswan"|"Egypt"|"Upper Egypt"|"Staatliche Museen, Berlin, Germany"||||||"Staatliche Museen, Berlin, Germany"|||||"Phoenician"|"Egypt"|"Elephantine"|"Ostracon"|"Jewish"|"P11424 "|"Lidzbarski 24"|"Persian"||||||||||||||||||
